nombre,descripcion,precio,stock,categoria
"Laptop Pro X1","Potente laptop para diseño",3500.00,15,"Tecnología"
"Monitor UltraWide 34","Resolución 4K para multitarea",850.50,10,"Tecnología"
"Teclado Mecánico RGB","Switches Cherry MX Blue",120.00,50,"Accesorios"
"Mouse Wireless G5","Sensor óptico de alta precisión",45.99,100,"Accesorios"
"Silla Ergonómica Boss","Soporte lumbar ajustable",320.00,20,"Muebles"
"Escritorio Elevable","Motor silencioso con memoria",600.00,8,"Muebles"
"Auriculares Noise Cancelling","Cancelación de ruido activa",299.00,30,"Audio"
"Micrófono Podcast","Patrón cardioide USB",150.00,12,"Audio"
"Webcam 1080p","Autoenfoque y corrección de luz",85.00,45,"Tecnología"
"Hub USB-C 7-in-1","Salida HDMI 4K y PD 100W",55.00,60,"Accesorios"
"Disco Externo 2TB","Alta velocidad de transferencia",95.00,25,"Tecnología"
"Power Bank 20000mAh","Carga rápida para móviles",40.00,80,"Accesorios"
"Cámara Digital Mirrorless","Sensor Full Frame",1800.00,5,"Fotografía"
"Trípode Profesional","Fibra de carbono ligero",130.00,15,"Fotografía"
"Lámpara de Escritorio","Luz LED regulable",35.00,55,"Muebles"
"Parlante Bluetooth","Resistente al agua IP67",75.00,40,"Audio"
"Impresora Láser","Impresión rápida doble cara",210.00,10,"Tecnología"
"Router WiFi 6","Cobertura total para el hogar",180.00,22,"Tecnología"
"Smartwatch Series 5","GPS y sensor cardíaco",340.00,18,"Tecnología"
"Tablet Pro 11","Pantalla Liquid Retina",799.00,14,"Tecnología"
"Cargador Rápido GaN 65W","Compacto y eficiente",30.00,90,"Accesorios"
"Mochila Antirrobo","Compartimento para laptop 15p",65.00,35,"Accesorios"
"Soporte para Laptop","Aluminio ajustable",25.00,120,"Accesorios"
"Cable HDMI 2.1","Soporta 8K a 60Hz",18.00,150,"Accesorios"
"Alfombrilla XL","Superficie de tela suave",22.00,75,"Accesorios"
"Adaptador Bluetooth USB","Versión 5.0 estable",12.00,200,"Accesorios"
"Silla para Juegos","Reclinación 180 grados",280.00,12,"Muebles"
"Organizador de Cables","Paquete de 10 unidades",10.00,300,"Accesorios"
"Protector de Voltaje","6 tomas con interruptor",20.00,45,"Electricidad"
"Bombilla Inteligente RGB","Control por aplicación",15.00,110,"Hogar"
"Enchufe Inteligente","Temporizador programable",18.00,85,"Hogar"
"Sensor de Movimiento","Notificaciones al móvil",28.00,50,"Hogar"
"Cerradura Electrónica","Acceso por código y huella",195.00,7,"Hogar"
"Cámara de Seguridad WiFi","Visión nocturna HD",65.00,28,"Hogar"
"Teclado Numérico Inalámbrico","Ideal para contadores",20.00,40,"Accesorios"
"Estuche para Disco Duro","Protección contra golpes",15.00,65,"Accesorios"
"Limpiador de Pantallas","Kit de spray y microfibra",8.00,150,"Accesorios"
"Soporte Celular Auto","Imán potente",12.00,95,"Accesorios"
"Cuna de Carga para Reloj","Diseño elegante",22.00,30,"Accesorios"
"Lector de Tarjetas SD","USB 3.0 ultra rápido",18.00,55,"Accesorios"
"Filtro de Privacidad 14p","Protección visual lateral",35.00,20,"Accesorios"
"Batería de Repuesto","Compatible con modelo X",45.00,15,"Tecnología"
"Ventilador USB","Oscilación automática",15.00,80,"Oficina"
"Puntero Láser","Control de presentaciones",25.00,35,"Oficina"
"Pizarra Blanca 90x60","Superficie magnética",45.00,12,"Oficina"
"Escáner de Documentos","Portátil de mano",95.00,10,"Oficina"
"Destructora de Papel","Corte cruzado de seguridad",85.00,8,"Oficina"
"Calculadora Financiera","Más de 100 funciones",40.00,25,"Oficina"
"Lupa con Luz LED","Aumento 5x",18.00,20,"Oficina"
"Clip para Cables Escritorio","Silicona adhesiva",5.00,500,"Accesorios"
